text,label
This is an example sentence in English. !,en
I prefer tea over coffee in the mornings. ,en
Kitap okumak bana huzur verir. !,tr
Yaz tatilinde denize gitmek istiyorum. .,tr
Czy możesz mi pomóc z tym projektem? ,pl
Lubię uczyć się nowych rzeczy. ,pl
Bilgisayar mühendisliği zordur. .,tr
Czy możesz mi pomóc z tym projektem? !,pl
Artificial Intelligence is the future. !,en
Lubię słuchać muzyki klasycznej. .,pl
Kitap okumak bana huzur verir. ,tr
Dün akşam tiyatroya gittik. .,tr
Bu proje çok fazla emek gerektiriyor. .,tr
"Merhaba, bugün nasılsın? !",tr
She sells sea shells on the sea shore. !,en
Matematyka jest moim ulubionym przedmiotem. ,pl
They visited the museum during the holiday. .,en
This is an example sentence in English. ,en
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı .",tr
W weekendy często chodzę na spacery. ,pl
Yeni şeyler öğrenmek harika bir duygu. !,tr
Kitap okumak bana huzur verir. .,tr
İstanbul çok kalabalık bir şehir. ,tr
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż .",pl
Learning Java is fun and rewarding. ,en
The cat sat on the mat and purred softly. .,en
Uwielbiam polską kuchnię. .,pl
The quick brown fox jumps over the lazy dog. !,en
Lubię uczyć się nowych rzeczy. !,pl
Warszawa jest stolicą Polski. ,pl
Telefonumu evde unuttum. !,tr
Bu sabah kahvaltıda simit yedim. .,tr
She sells sea shells on the sea shore. .,en
Mam na imię Anna i lubię czytać książki. ,pl
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż ",pl
Mój komputer działa bardzo wolno. .,pl
Wczoraj odwiedziłem moją babcię. !,pl
Wczoraj odwiedziłem moją babcię. .,pl
Jutro jadę na wycieczkę szkolną. !,pl
Dzisiaj jest bardzo zimno na dworze. .,pl
Matematyka jest moim ulubionym przedmiotem. !,pl
Sabahları yürüyüş yapmayı seviyorum. ,tr
The cat sat on the mat and purred softly. ,en
Wczoraj odwiedziłem moją babcię. ,pl
Have you finished your homework yet? !,en
Sinemaya gitmeyi özledim. .,tr
To był bardzo ciekawy wykład. !,pl
I'm planning a road trip across the country. .,en
En sevdiğim yemek mantıdır. ,tr
Kahve içmeyi çok seviyorum. ,tr
I love learning new things every day. .,en
Writing code is both an art and a science. !,en
Lubię słuchać muzyki klasycznej. !,pl
Sabahları yürüyüş yapmayı seviyorum. .,tr
Bu proje çok fazla emek gerektiriyor. !,tr
"Hello, how are you doing today? ",en
The quick brown fox jumps over the lazy dog. .,en
Ankara Türkiye'nin başkentidir. !,tr
I prefer tea over coffee in the mornings. !,en
I love learning new things every day. !,en
To był bardzo ciekawy wykład. ,pl
Learning Java is fun and rewarding. !,en
Dün akşam tiyatroya gittik. ,tr
He brought his umbrella because it might rain. ,en
To jest naprawdę interesujące zadanie. ,pl
Mam na imię Anna i lubię czytać książki. !,pl
Yeni şeyler öğrenmek harika bir duygu. .,tr
Kütüphanede sessizce çalışmak zorundayız. !,tr
Reading books expands your knowledge. .,en
Warszawa jest stolicą Polski. .,pl
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı ",tr
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı !",tr
Lubię słuchać muzyki klasycznej. ,pl
Czy możesz mi pomóc z tym projektem? .,pl
Ankara Türkiye'nin başkentidir. ,tr
Rano piję kawę i jem śniadanie. .,pl
Jutro jadę na wycieczkę szkolną. .,pl
Kahve içmeyi çok seviyorum. !,tr
Please let me know what you think. .,en
She sells sea shells on the sea shore. ,en
The cat sat on the mat and purred softly. !,en
Sunsets are beautiful at the beach. !,en
Jutro jadę na wycieczkę szkolną. ,pl
I enjoy hiking in the mountains. .,en
Mój komputer działa bardzo wolno. ,pl
Sunsets are beautiful at the beach. ,en
Please let me know what you think. ,en
Artificial Intelligence is the future. .,en
Bu sabah kahvaltıda simit yedim. !,tr
Music helps me concentrate while studying. ,en
Spacer w lesie to świetny sposób na relaks. ,pl
The weather is quite pleasant today. ,en
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż !",pl
Ten film był naprawdę wzruszający. ,pl
"Cześć, jak się masz? .",pl
I enjoy hiking in the mountains. ,en
Film çok heyecanlıydı ve sonu şaşırtıcıydı. !,tr
I'm planning a road trip across the country. ,en
Bilgisayar mühendisliği zordur. !,tr
Ankara Türkiye'nin başkentidir. .,tr
Bugün hava gerçekten çok güzel. .,tr
Have you finished your homework yet? ,en
Mam na imię Anna i lubię czytać książki. .,pl
The weather is quite pleasant today. !,en
This is an example sentence in English. .,en
The weather is quite pleasant today. .,en
Sunsets are beautiful at the beach. .,en
Dzisiaj jest bardzo zimno na dworze. ,pl
Writing code is both an art and a science. ,en
Warszawa jest stolicą Polski. !,pl
I enjoy hiking in the mountains. !,en
Arkadaşlarımla pikniğe gittik. ,tr
I prefer tea over coffee in the mornings. .,en
They visited the museum during the holiday. !,en
Have you finished your homework yet? .,en
To jest naprawdę interesujące zadanie. .,pl
"Merhaba, bugün nasılsın? ",tr
Sinemaya gitmeyi özledim. ,tr
I'm planning a road trip across the country. !,en
Spacer w lesie to świetny sposób na relaks. !,pl
"Merhaba, bugün nasılsın? .",tr
Rano piję kawę i jem śniadanie. ,pl
Telefonumu evde unuttum. .,tr
Sinemaya gitmeyi özledim. !,tr
Bilgisayar mühendisliği zordur. ,tr
"Zadanie domowe było trudne, ale ciekawe. ",pl
Dün akşam tiyatroya gittik. !,tr
Yeni şeyler öğrenmek harika bir duygu. ,tr
Arkadaşlarımla pikniğe gittik. !,tr
He brought his umbrella because it might rain. .,en
Bugün hava gerçekten çok güzel. ,tr
Bu proje çok fazla emek gerektiriyor. ,tr
W weekendy często chodzę na spacery. !,pl
"Hello, how are you doing today? .",en
Matematyka jest moim ulubionym przedmiotem. .,pl
Film çok heyecanlıydı ve sonu şaşırtıcıydı. .,tr
Please let me know what you think. !,en
Uwielbiam polską kuchnię. ,pl
İstanbul çok kalabalık bir şehir. !,tr
Arkadaşlarımla pikniğe gittik. .,tr
"Zadanie domowe było trudne, ale ciekawe. !",pl
To był bardzo ciekawy wykład. .,pl
Ten film był naprawdę wzruszający. .,pl
Yaz tatilinde denize gitmek istiyorum. ,tr
Reading books expands your knowledge. !,en
"Cześć, jak się masz? ",pl
Bu sabah kahvaltıda simit yedim. ,tr
To jest naprawdę interesujące zadanie. !,pl
Kütüphanede sessizce çalışmak zorundayız. ,tr
The quick brown fox jumps over the lazy dog. ,en
