text,label
"Cześć, jak się masz?",pl
"Cześć, jak się masz?",pl
"Cześć, jak się masz?",pl
Bugün hava gerçekten çok güzel.,tr
"Merhaba, bugün nasılsın?",tr
Matematyka jest moim ulubionym przedmiotem.,pl
To jest naprawdę interesujące zadanie.,pl
İstanbul çok kalabalık bir şehir.,tr
To jest naprawdę interesujące zadanie.,pl
Ankara Türkiye'nin başkentidir.,tr
Yaz tatilinde denize gitmek istiyorum.,tr
Matematyka jest moim ulubionym przedmiotem.,pl
"Hello, how are you doing today?",en
Matematyka jest moim ulubionym przedmiotem.,pl
Spacer w lesie to świetny sposób na relaks.,pl
"Cześć, jak się masz?",pl
The quick brown fox jumps over the lazy dog.,en
Spacer w lesie to świetny sposób na relaks.,pl
Dzisiaj jest bardzo zimno na dworze.,pl
Kahve içmeyi çok seviyorum.,tr
To jest naprawdę interesujące zadanie.,pl
Warszawa jest stolicą Polski.,pl
She sells sea shells on the sea shore.,en
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż",pl
She sells sea shells on the sea shore.,en
Dzisiaj jest bardzo zimno na dworze.,pl
Lubię uczyć się nowych rzeczy.,pl
I love learning new things every day.,en
I love learning new things every day.,en
Kahve içmeyi çok seviyorum.,tr
Sinemaya gitmeyi özledim.,tr
Reading books expands your knowledge.,en
The quick brown fox jumps over the lazy dog.,en
Ankara Türkiye'nin başkentidir.,tr
This is an example sentence in English.,en
Yaz tatilinde denize gitmek istiyorum.,tr
"Hello, how are you doing today?",en
To jest naprawdę interesujące zadanie.,pl
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı",tr
Yaz tatilinde denize gitmek istiyorum.,tr
Warszawa jest stolicą Polski.,pl
Spacer w lesie to świetny sposób na relaks.,pl
The quick brown fox jumps over the lazy dog.,en
The weather is quite pleasant today.,en
To jest naprawdę interesujące zadanie.,pl
Please let me know what you think.,en
Reading books expands your knowledge.,en
Uwielbiam polską kuchnię.,pl
Bugün hava gerçekten çok güzel.,tr
Yaz tatilinde denize gitmek istiyorum.,tr
Dzisiaj jest bardzo zimno na dworze.,pl
I love learning new things every day.,en
İstanbul çok kalabalık bir şehir.,tr
Kahve içmeyi çok seviyorum.,tr
Bilgisayar mühendisliği zordur.,tr
Yeni şeyler öğrenmek harika bir duygu.,tr
Bilgisayar mühendisliği zordur.,tr
"Hello, how are you doing today?",en
Yeni şeyler öğrenmek harika bir duygu.,tr
Dzisiaj jest bardzo zimno na dworze.,pl
İstanbul çok kalabalık bir şehir.,tr
The quick brown fox jumps over the lazy dog.,en
"Merhaba, bugün nasılsın?",tr
Artificial Intelligence is the future.,en
I love learning new things every day.,en
"Hello, how are you doing today?",en
I enjoy hiking in the mountains.,en
Sinemaya gitmeyi özledim.,tr
Bugün hava gerçekten çok güzel.,tr
"Hello, how are you doing today?",en
"Merhaba, bugün nasılsın?",tr
Yeni şeyler öğrenmek harika bir duygu.,tr
Reading books expands your knowledge.,en
She sells sea shells on the sea shore.,en
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı",tr
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż",pl
İstanbul çok kalabalık bir şehir.,tr
Reading books expands your knowledge.,en
Yaz tatilinde denize gitmek istiyorum.,tr
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı",tr
Ankara Türkiye'nin başkentidir.,tr
İstanbul çok kalabalık bir şehir.,tr
The quick brown fox jumps over the lazy dog.,en
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı",tr
Sinemaya gitmeyi özledim.,tr
Matematyka jest moim ulubionym przedmiotem.,pl
This is an example sentence in English.,en
Uwielbiam polską kuchnię.,pl
Yeni şeyler öğrenmek harika bir duygu.,tr
Spacer w lesie to świetny sposób na relaks.,pl
Mam na imię Anna i lubię czytać książki.,pl
Lubię uczyć się nowych rzeczy.,pl
"Cześć, jak się masz?",pl
This is an example sentence in English.,en
Sinemaya gitmeyi özledim.,tr
To jest naprawdę interesujące zadanie.,pl
"Hello, how are you doing today?",en
Yaz tatilinde denize gitmek istiyorum.,tr
Bilgisayar mühendisliği zordur.,tr
Mam na imię Anna i lubię czytać książki.,pl
Spacer w lesie to świetny sposób na relaks.,pl
I enjoy hiking in the mountains.,en
Spacer w lesie to świetny sposób na relaks.,pl
The weather is quite pleasant today.,en
The quick brown fox jumps over the lazy dog.,en
Mam na imię Anna i lubię czytać książki.,pl
Reading books expands your knowledge.,en
The weather is quite pleasant today.,en
Matematyka jest moim ulubionym przedmiotem.,pl
I love learning new things every day.,en
I enjoy hiking in the mountains.,en
Reading books expands your knowledge.,en
Please let me know what you think.,en
Reading books expands your knowledge.,en
"Merhaba, bugün nasılsın?",tr
She sells sea shells on the sea shore.,en
To jest naprawdę interesujące zadanie.,pl
Bugün hava gerçekten çok güzel.,tr
İstanbul çok kalabalık bir şehir.,tr
Warszawa jest stolicą Polski.,pl
Sinemaya gitmeyi özledim.,tr
I love learning new things every day.,en
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż",pl
This is an example sentence in English.,en
"Cześć, jak się masz?",pl
The weather is quite pleasant today.,en
Lubię uczyć się nowych rzeczy.,pl
Lubię uczyć się nowych rzeczy.,pl
Matematyka jest moim ulubionym przedmiotem.,pl
Yeni şeyler öğrenmek harika bir duygu.,tr
Bugün hava gerçekten çok güzel.,tr
Bugün hava gerçekten çok güzel.,tr
This is an example sentence in English.,en
Yaz tatilinde denize gitmek istiyorum.,tr
I love learning new things every day.,en
Dzisiaj jest bardzo zimno na dworze.,pl
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż",pl
İstanbul çok kalabalık bir şehir.,tr
Sinemaya gitmeyi özledim.,tr
She sells sea shells on the sea shore.,en
Please let me know what you think.,en
Spacer w lesie to świetny sposób na relaks.,pl
Ankara Türkiye'nin başkentidir.,tr
"Merhaba, bugün nasılsın?",tr
"Polskie znaki: ą, ć, ę, ł, ń, ó, ś, ź, ż",pl
Uwielbiam polską kuchnię.,pl
Please let me know what you think.,en
Uwielbiam polską kuchnię.,pl
Yeni şeyler öğrenmek harika bir duygu.,tr
"Hello, how are you doing today?",en
This is an example sentence in English.,en
Spacer w lesie to świetny sposób na relaks.,pl
I love learning new things every day.,en
Reading books expands your knowledge.,en
Yaz tatilinde denize gitmek istiyorum.,tr
Warszawa jest stolicą Polski.,pl
Warszawa jest stolicą Polski.,pl
Matematyka jest moim ulubionym przedmiotem.,pl
Mam na imię Anna i lubię czytać książki.,pl
Warszawa jest stolicą Polski.,pl
I enjoy hiking in the mountains.,en
Mam na imię Anna i lubię czytać książki.,pl
She sells sea shells on the sea shore.,en
Spacer w lesie to świetny sposób na relaks.,pl
"Türkçe karakterler: ç, ğ, ö, ş, ü, ı",tr
The weather is quite pleasant today.,en
